Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
dy-elixir-cowboy-1-16,dynamic,8,100,100,0,0.12373137474060059,808.2024483252306,0.0004987743874649765,0.004031106811111112,9,0.8999999999999999,2.07,2.6999999999999997,66.53,66.56,199.59
dy-elixir-cowboy-1-16,dynamic,8,1000,1000,0,0.8622465133666992,1159.761140808135,0.08829713186739414,0.10240358238461537,13,0.9966666666666666,2.09,2.9899999999999998,67.45666666666666,67.83,202.37
dy-elixir-cowboy-1-16,dynamic,8,5000,5000,0,3.9246037006378174,1274.0139849502286,2.657524511523956,0.677144678605909,22,54.134,144.49,270.67,67.27799999999999,67.92,336.39
dy-elixir-cowboy-1-16,dynamic,8,8000,8000,0,6.282119274139404,1273.455604851745,5.823540859656981,0.9270025934766664,27,71.66833333333334,147.23,430.01,72.15666666666667,73.01,432.94
dy-elixir-cowboy-1-16,dynamic,8,10000,10000,0,9.077945232391357,1101.5708669753399,9.764711717428005,1.0756521952331426,35,78.97142857142858,147.86,552.8000000000001,70.69142857142857,71.59,494.84000000000003
dy-elixir-cowboy-1-16,dynamic,8,15000,15000,0,11.727851152420044,1279.006682899855,18.861540131007274,1.6082690584894739,38,85.68777777777777,151.14,771.1899999999999,70.22777777777777,71.5,632.05
dy-elixir-cowboy-1-16,dynamic,8,20000,20000,0,17.682733297348022,1131.0468615731206,26.901375256361366,1.5213358027854162,48,91.22000000000001,140.55,1094.64,67.2025,69.94,806.4300000000001
dy-elixir-cowboy-1-16,dynamic,8,30000,28231,1769,31.701568126678467,946.3254271877323,40.828737682510365,1.2879090876312496,80,85.24578947368421,145.98,1619.67,69.11684210526316,72.06,1313.22
dy-elixir-cowboy-1-16,dynamic,8,40000,28232,11768,57.87651705741882,691.1265921602768,84.72500730521782,1.4638926392402436,82,53.8175,156.82,1722.16,65.64625,66.43,2100.68
dy-elixir-cowboy-1-16,dynamic,8,50000,36748,13252,69.47163343429565,719.7182148781433,100.97268218647866,1.4534375714942103,95,60.758918918918916,150.52,2248.08,72.55594594594595,75.89,2684.57
dy-elixir-cowboy-1-16,dynamic,8,60000,47018,12982,79.83548188209534,751.5455357131898,111.74366305617455,1.3996741852351147,131,61.42674418604651,144.0,2641.35,69.00511627906977,72.91,2967.22
dy-elixir-cowboy-1-16,dynamic,8,70000,56463,13537,92.81354594230652,754.2002548153093,118.59115342571194,1.2777354018930485,187,72.64836734693877,156.4,3559.77,62.48408163265306,65.79,3061.72
dy-elixir-cowboy-1-16,dynamic,8,80000,56464,23536,121.39161539077759,659.0240993372413,179.48932269862365,1.4785973654013989,143,57.51666666666667,162.95,3623.55,74.13888888888889,78.13,4670.75
