Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
dy-erlang-yaws-27,dynamic,8,100,100,0,0.11196684837341309,893.1215038445732,0.0006427335749155783,0.00574039177,10,1.0166666666666668,2.39,3.0500000000000003,46.49333333333334,47.92,139.48000000000002
dy-erlang-yaws-27,dynamic,8,1000,1000,0,0.6972610950469971,1434.1829869807918,0.08039348905869027,0.11529897427200002,10,1.0866666666666667,2.11,3.26,45.080000000000005,45.43,135.24
dy-erlang-yaws-27,dynamic,8,5000,5000,0,3.3631703853607178,1486.6924440593643,3.18403559248579,0.9467363313929411,17,48.9525,141.18,195.81,48.2775,48.82,193.11
dy-erlang-yaws-27,dynamic,8,8000,8000,0,5.341441631317139,1497.7230029240798,8.013517596356495,1.5002537048000004,16,51.519999999999996,108.74,257.59999999999997,47.532,48.9,237.66
dy-erlang-yaws-27,dynamic,8,10000,10000,0,6.473008155822754,1544.8767805127145,13.206843361224049,2.0402945652623528,17,64.27833333333334,143.69,385.67,47.55833333333334,48.68,285.35
dy-erlang-yaws-27,dynamic,8,15000,15000,0,10.665752410888672,1406.3705420994484,23.088846990683763,2.1647649505826094,23,83.55125,144.22,668.41,48.32125,49.08,386.57
dy-erlang-yaws-27,dynamic,8,20000,20000,0,16.259297132492065,1230.065471897468,35.60232500744288,2.1896595355463626,33,88.47363636363637,142.67,973.21,46.959090909090904,47.95,516.55
dy-erlang-yaws-27,dynamic,8,30000,28231,1769,29.110655546188354,1030.5504784116101,50.720791455811494,1.7423445300067346,49,70.60588235294118,145.22,1200.3,48.02058823529412,48.74,816.35
dy-erlang-yaws-27,dynamic,8,40000,28232,11768,56.83423590660095,703.8011396112435,110.36264115561777,1.9418338153957624,59,50.12354838709677,144.2,1553.83,47.535806451612906,48.28,1473.6100000000001
dy-erlang-yaws-27,dynamic,8,50000,35890,14110,68.32016515731812,731.8483479199296,124.83389249487136,1.8271895597357142,70,52.54783783783784,189.18,1944.27,52.09945945945946,53.19,1927.68
dy-erlang-yaws-27,dynamic,8,60000,46227,13773,78.93625092506409,760.1070395015253,154.82107753200333,1.9613431815881195,101,74.40761904761905,213.68,3125.12,48.19047619047619,48.98,2024.0
dy-erlang-yaws-27,dynamic,8,70000,56329,13671,90.83287906646729,770.6460559152513,156.34262453659687,1.721211813865248,141,82.90291666666667,215.84,3979.34,50.91041666666666,55.97,2443.7
dy-erlang-yaws-27,dynamic,8,80000,56464,23536,118.99825644493103,672.2787576053411,227.05898206893568,1.9080866296054686,128,68.26145161290323,218.64,4232.21,47.91645161290323,49.18,2970.82
