Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
dy-gleam-index-1-0,dynamic,8,100,100,0,0.09401464462280273,1063.6640749024918,0.0005727595920944452,0.006092238016666667,6,0.7233333333333333,1.98,2.17,79.93666666666667,79.94,239.81
dy-gleam-index-1-0,dynamic,8,1000,1000,0,0.8519730567932129,1173.7460381246722,0.1836942008909432,0.21561034052222222,9,0.9333333333333335,1.62,2.8000000000000003,55.449999999999996,57.25,166.35
dy-gleam-index-1-0,dynamic,8,5000,5000,0,3.9386777877807617,1269.461547606624,3.134713033092034,0.7958795316583336,24,71.216,177.66,356.08,62.65999999999999,68.02,313.29999999999995
dy-gleam-index-1-0,dynamic,8,8000,8000,0,6.3459861278533936,1260.6393772099368,7.653200982464185,1.2059908150245158,31,99.83833333333332,200.64,599.03,60.538333333333334,66.18,363.23
dy-gleam-index-1-0,dynamic,8,10000,10000,0,6.985133647918701,1431.6118350834436,12.666594646038524,1.8133646805473331,30,93.80499999999999,198.89,562.8299999999999,64.12666666666667,68.36,384.76
dy-gleam-index-1-0,dynamic,8,15000,15000,0,11.179710388183594,1341.7163306711652,16.387982389016155,1.4658682398729623,54,111.855,187.59,894.84,61.185,64.5,489.48
dy-gleam-index-1-0,dynamic,8,20000,20000,0,17.762280225753784,1125.981560126594,25.982730912322214,1.4628037944503027,66,120.60666666666667,193.93,1447.28,60.9425,65.95,731.3100000000001
dy-gleam-index-1-0,dynamic,8,30000,28231,1769,30.951492309570312,969.2585966436227,55.134141923568116,1.781308034266265,83,116.735,190.8,2101.23,61.49111111111111,66.34,1106.84
dy-gleam-index-1-0,dynamic,8,40000,28232,11768,58.39246201515198,685.0199258531109,96.9251395097143,1.6598912970061728,81,66.3834375,210.43,2124.27,60.347500000000004,67.91,1931.1200000000001
dy-gleam-index-1-0,dynamic,8,50000,36599,13401,69.2276840209961,722.2544088696579,108.48755529710023,1.567112302416429,112,72.9772972972973,202.82,2700.16,65.73108108108109,73.3,2432.05
dy-gleam-index-1-0,dynamic,8,60000,46862,13138,79.73017525672913,752.5381677238453,122.54560202384313,1.5370040468273076,156,85.3997619047619,205.7,3586.79,62.58166666666666,71.27,2628.43
dy-gleam-index-1-0,dynamic,8,70000,56463,13537,92.67548251152039,755.323825708686,149.05983605950064,1.6084063661710224,176,90.1538775510204,208.03,4417.54,55.43795918367347,64.93,2716.46
dy-gleam-index-1-0,dynamic,8,80000,56464,23536,121.13472270965576,660.4217041198801,196.20515765924293,1.619726807230337,178,73.28825396825397,201.34,4617.16,61.51793650793651,69.04,3875.63
