Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
st-elixir-index-1-16,static,8,100,100,0,0.16883563995361328,592.2920067556499,0.0012064691658554396,0.007145820433333333,6,1.0999999999999999,2.8,3.3,81.91000000000001,82.21,245.73000000000002
st-elixir-index-1-16,static,8,1000,1000,0,0.848200798034668,1178.9661154729633,0.12760735584038008,0.15044474862090906,11,1.5833333333333333,3.73,4.75,70.18666666666667,70.38,210.56
st-elixir-index-1-16,static,8,5000,5000,0,3.5632078647613525,1403.2299517095046,3.835320109313595,1.0763672103565216,23,57.826,182.37,289.13,72.332,72.86,361.65999999999997
st-elixir-index-1-16,static,8,8000,8000,0,6.34915566444397,1260.0100584713896,7.667389408746429,1.2076234721546875,32,104.84500000000001,214.5,629.07,70.43,71.28,422.58000000000004
st-elixir-index-1-16,static,8,10000,10000,0,8.609259605407715,1161.540069452514,12.60149590507766,1.4637142428789476,38,95.9057142857143,187.57,671.34,67.76,68.69,474.32
st-elixir-index-1-16,static,8,15000,15000,0,12.501354217529297,1199.8700092000531,20.483534346122198,1.6385052362887498,48,128.35222222222222,223.92,1155.17,69.16000000000001,70.67,622.44
st-elixir-index-1-16,static,8,20000,20000,0,18.026883125305176,1109.4541336391685,26.55557654917822,1.473109708682857,70,139.65833333333333,206.62,1675.9,71.02833333333334,73.75,852.34
st-elixir-index-1-16,static,8,30000,28231,1769,32.15304183959961,933.0376935924013,58.19032527574502,1.8097922294890916,88,118.4857894736842,223.25,2251.23,71.14368421052632,73.98,1351.73
st-elixir-index-1-16,static,8,40000,28232,11768,59.87586832046509,668.0487669241587,113.60999477122877,1.8974254229294876,78,71.67363636363636,212.95,2365.23,71.84818181818181,75.55,2370.99
st-elixir-index-1-16,static,8,50000,37007,12993,69.86700129508972,715.6454273573355,114.4505662965523,1.6381204885717047,129,78.52763157894738,205.95,2984.05,66.82131578947369,70.2,2539.21
st-elixir-index-1-16,static,8,60000,47501,12499,80.992666721344,740.8078092604426,136.82648659678225,1.6893688297427594,145,93.64418604651162,210.21,4026.7,68.79813953488373,72.16,2958.32
st-elixir-index-1-16,static,8,70000,56463,13537,95.3158061504364,734.4007549967042,151.7937591272182,1.5925350186688132,202,106.6766,237.25,5333.83,65.21,68.84,3260.5
st-elixir-index-1-16,static,8,80000,56567,23433,123.43302154541016,648.124780535884,200.67796612241872,1.6258045343935026,197,74.90828125,221.47,4794.13,67.35625,71.46,4310.8
