Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
st-elixir-phoenix-1-8,static,8,100,100,0,0.1339414119720459,746.5950860729346,0.0007012937375296157,0.005235824583333334,6,1.0033333333333332,2.98,3.01,67.73666666666666,67.88,203.20999999999998
st-elixir-phoenix-1-8,static,8,1000,1000,0,0.8141210079193115,1228.3186286468008,0.10710954283901121,0.13156464677500002,10,0.7799999999999999,1.52,2.34,65.93333333333334,66.33,197.8
st-elixir-phoenix-1-8,static,8,5000,5000,0,3.9137744903564453,1277.5391153271653,2.8342001050376835,0.7241602989700001,20,49.874,136.12,249.37,67.674,68.63,338.37
st-elixir-phoenix-1-8,static,8,8000,8000,0,5.6195032596588135,1423.6133747675267,7.477739217919979,1.3306761954568183,22,59.495000000000005,149.3,356.97,71.54666666666667,72.41,429.28
st-elixir-phoenix-1-8,static,8,10000,10000,0,8.231121063232422,1214.9013388551627,10.628536502347062,1.2912623226772415,29,75.12142857142858,141.86,525.85,70.03571428571429,71.82,490.25
st-elixir-phoenix-1-8,static,8,15000,15000,0,11.691903114318848,1282.9391291850332,18.176451851357417,1.5546187539902778,36,82.80444444444444,141.26,745.24,73.47777777777777,74.88,661.3
st-elixir-phoenix-1-8,static,8,20000,20000,0,17.478503704071045,1144.2627091323416,23.83857499195433,1.3638796201074075,54,96.23454545454545,142.7,1058.58,74.01181818181819,76.73,814.13
st-elixir-phoenix-1-8,static,8,30000,28231,1769,31.52195978164673,951.717475937747,35.86799881972772,1.1378733767883118,77,86.82166666666666,142.12,1562.79,68.23388888888888,70.95,1228.21
st-elixir-phoenix-1-8,static,8,40000,28232,11768,58.52826976776123,683.4304201835974,92.24711830648567,1.5761121706231882,69,49.445625,149.65,1582.26,72.9121875,76.81,2333.19
st-elixir-phoenix-1-8,static,8,50000,36746,13254,69.3713309764862,720.7588393676313,100.04986696066196,1.4422365197890525,95,53.73189189189189,141.45,1988.08,71.51621621621621,74.86,2646.1
st-elixir-phoenix-1-8,static,8,60000,46945,13055,79.70970249176025,752.7314508067863,103.58653761697624,1.2995474124079711,138,65.01857142857142,152.98,2730.7799999999997,69.4857142857143,73.2,2918.4
st-elixir-phoenix-1-8,static,8,70000,56463,13537,92.76622986793518,754.5849400116198,119.20496843620066,1.2850039136645357,172,69.20489795918367,142.0,3391.04,76.35387755102042,79.6,3741.34
st-elixir-phoenix-1-8,static,8,80000,56464,23536,120.49466133117676,663.929829887831,161.90035154791573,1.3436309107748468,163,51.27285714285714,145.8,3230.19,66.87206349206349,67.84,4212.94
