Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%*s),Avg Mem (MB),Peak Mem (MB),Total Mem (MB*s),HTTP Max Workers
dy-gleam-pure-1-15-2,dynamic,8,100,100,0,0.2069530487060547,483.20138613678887,0.0019382001962292533,0.009365410214285714,7,0.5,0.81,0.75,53.98333333333333,56.0,80.975,100
dy-gleam-pure-1-15-2,dynamic,8,1000,1000,0,0.7623534202575684,1311.7275707402748,0.12020790028718623,0.15768001702749998,12,0.68,1.18,1.02,65.12,71.84,97.68,100
dy-gleam-pure-1-15-2,dynamic,8,5000,5000,0,4.095565557479858,1220.832612694563,2.586281281515,0.631483306815,20,45.948,114.72,114.87,68.454,76.59,171.135,100
dy-gleam-pure-1-15-2,dynamic,8,8000,8000,0,6.580363512039185,1215.7383076730491,4.410002599452077,0.6701761371364519,31,56.33833333333334,117.66,169.01500000000001,69.99833333333333,76.3,209.995,100
dy-gleam-pure-1-15-2,dynamic,8,10000,10000,0,8.358149766921997,1196.4370439467054,8.24721521839322,0.9867273796686667,30,73.46285714285715,144.33,257.12,71.44714285714285,79.71,250.065,100
dy-gleam-pure-1-15-2,dynamic,8,15000,15000,0,13.059751272201538,1148.5670505783978,14.870652914616203,1.1386627972210526,38,81.27888888888889,128.09,365.755,70.76777777777778,75.05,318.455,100
dy-gleam-pure-1-15-2,dynamic,8,20000,20000,0,18.638949394226074,1073.0218520897722,26.072060786434573,1.3987945476428574,49,94.53416666666668,153.08,567.205,69.30166666666666,76.48,415.81,100
dy-gleam-pure-1-15-2,dynamic,8,30000,28231,1769,32.37186098098755,926.7307807116626,46.19311572263998,1.4269527399048776,82,88.91473684210527,148.61,844.69,71.31368421052632,74.65,677.48,100
dy-gleam-pure-1-15-2,dynamic,8,40000,28232,11768,58.67921328544617,681.6723974368781,98.15451425269337,1.672730576247143,70,54.40625,153.74,870.5,70.54875,77.41,1128.78,100
dy-gleam-pure-1-15-2,dynamic,8,50000,37106,12894,70.0864155292511,713.4050104065049,93.97531195301111,1.3408491680358485,106,54.39868421052632,133.06,1033.575,73.17842105263158,81.11,1390.39,100
dy-gleam-pure-1-15-2,dynamic,8,60000,47166,12834,80.65503096580505,743.9089574640165,105.53648352099498,1.308492257175362,138,64.1306976744186,163.18,1378.81,73.74348837209301,77.27,1585.485,100
dy-gleam-pure-1-15-2,dynamic,8,70000,56463,13537,94.23106074333191,742.854844759385,140.42510499191707,1.4902209938441555,154,68.9874,141.13,1724.685,76.1152,82.93,1902.8799999999999,100
dy-gleam-pure-1-15-2,dynamic,8,80000,56464,23536,121.32525110244751,659.3845821299615,187.5209140472382,1.5456049943708323,144,54.27396825396825,150.42,1709.6299999999999,78.23142857142857,83.37,2464.29,100
