Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%*s),Avg Mem (MB),Peak Mem (MB),Total Mem (MB*s),HTTP Max Workers
st-elixir-index-1-19-5,static,8,100,100,0,1.5147626399993896,66.0169437503689,0.016391921657142042,0.0108214457,5,1.5933333333333335,3.75,2.39,83.44333333333334,83.75,125.165,100
st-elixir-index-1-19-5,static,8,1000,1000,0,2.1782288551330566,459.08858366441723,0.42404883526360504,0.19467597918571422,7,4.055,14.85,8.11,66.57249999999999,66.81,133.14499999999998,100
st-elixir-index-1-19-5,static,8,5000,5000,0,4.438647747039795,1126.4692052516625,5.665736980706521,1.2764556467642858,14,36.33,144.03,90.825,69.588,70.09,173.97,100
st-elixir-index-1-19-5,static,8,8000,8000,0,6.224572658538818,1285.2287922168705,7.090168170718215,1.1390610343333336,21,63.39666666666667,131.46,190.19,67.38166666666667,68.12,202.145,100
st-elixir-index-1-19-5,static,8,10000,10000,0,7.869337558746338,1270.7549937142483,9.217249254262468,1.171286551816296,27,71.94285714285715,143.37,251.8,68.45,69.26,239.575,100
st-elixir-index-1-19-5,static,8,15000,15000,0,12.344398021697998,1215.1260817768673,13.707024415913866,1.1103841914219512,41,93.25222222222222,174.6,419.635,68.17333333333333,69.1,306.78,100
st-elixir-index-1-19-5,static,8,20000,20000,0,16.30024552345276,1226.9753833599648,20.850221403679665,1.2791354199960001,50,96.79818181818182,143.91,532.39,69.30090909090909,70.78,381.155,100
st-elixir-index-1-19-5,static,8,30000,30000,0,24.5227313041687,1223.3547571799313,33.441405194377616,1.3636900710441173,68,100.83466666666666,167.14,756.26,69.69933333333333,71.72,522.745,100
st-elixir-index-1-19-5,static,8,40000,40000,0,32.29762935638428,1238.4809906208548,48.28932709859306,1.4951353415370006,100,123.30052631578947,172.94,1171.355,67.79631578947368,69.01,644.0649999999999,100
st-elixir-index-1-19-5,static,8,50000,50000,0,41.3862783908844,1208.1298909691968,76.2606236779684,1.8426547793861383,101,127.63347826086957,175.65,1467.785,67.3691304347826,68.95,774.745,100
st-elixir-index-1-19-5,static,8,60000,60000,0,49.148932218551636,1220.7793189320305,97.66061151953437,1.9870342469550464,109,127.88666666666667,171.85,1726.47,72.13074074074073,74.1,973.765,100
st-elixir-index-1-19-5,static,8,70000,69999,1,57.186407804489136,1224.067093693285,89.70940719569381,1.5687190477568627,153,122.13612903225805,172.18,1893.11,67.91451612903225,70.05,1052.675,100
st-elixir-index-1-19-5,static,8,80000,80000,0,65.91429042816162,1213.6973557682466,122.54581774037204,1.8591691868993379,151,123.12527777777778,180.53,2216.255,68.56416666666667,70.98,1234.155,100
