Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%*s),Avg Mem (MB),Peak Mem (MB),Total Mem (MB*s),HTTP Max Workers
st-elixir-phoenix-1-8-5,static,8,100,100,0,0.14526844024658203,688.3807648120794,0.0007267020345489979,0.0050024770233333335,12,0.7599999999999999,1.22,1.14,77.32,77.6,115.97999999999999,100
st-elixir-phoenix-1-8-5,static,8,1000,1000,0,0.9158406257629395,1091.8930345189171,0.11229481326806258,0.12261392442000002,10,1.0233333333333334,1.32,1.5350000000000001,73.41,74.96,110.115,100
st-elixir-phoenix-1-8-5,static,8,5000,5000,0,4.131047964096069,1210.3466344269546,2.8119012134326122,0.6806750340038463,26,64.06,166.37,160.15,77.112,78.44,192.78,100
st-elixir-phoenix-1-8-5,static,8,8000,8000,0,6.541690826416016,1222.9254197852308,8.585177005144788,1.3123788991184002,25,82.46000000000001,185.43,247.38000000000002,78.22833333333334,79.81,234.685,100
st-elixir-phoenix-1-8-5,static,8,10000,10000,0,9.382107496261597,1065.8586041552614,12.164801786573348,1.29659586520625,32,85.02428571428572,162.71,297.58500000000004,73.33428571428571,74.32,256.67,100
st-elixir-phoenix-1-8-5,static,8,15000,15000,0,13.30709958076477,1127.217836536092,17.93170578214702,1.347529239810233,43,100.64,164.69,452.88,74.46222222222222,75.77,335.08,100
st-elixir-phoenix-1-8-5,static,8,20000,20000,0,18.812443494796753,1063.126116792415,24.946640815916687,1.3260712688820335,59,99.20916666666666,155.67,595.255,75.825,78.22,454.95,100
st-elixir-phoenix-1-8-5,static,8,30000,28231,1769,33.29802107810974,900.9544419960177,60.7132763738093,1.8233298679038457,78,112.80894736842104,182.19,1071.685,75.82105263157894,78.69,720.3,100
st-elixir-phoenix-1-8-5,static,8,40000,28238,11762,60.12752032279968,665.2527791809243,97.50263639833139,1.6215974960364279,84,64.2309090909091,192.75,1059.81,74.08606060606061,77.36,1222.42,100
st-elixir-phoenix-1-8-5,static,8,50000,37431,12569,70.624342918396,707.9711885995638,119.83366640230368,1.696775664741651,109,78.07710526315789,205.94,1483.465,72.49394736842105,75.7,1377.385,100
st-elixir-phoenix-1-8-5,static,8,60000,47710,12290,81.83091711997986,733.2192050594822,144.1493812147451,1.7615515784015274,131,78.81409090909091,197.22,1733.91,77.93113636363637,81.04,1714.4850000000001,100
st-elixir-phoenix-1-8-5,static,8,70000,56463,13537,95.10876321792603,735.9994771418335,157.88654432848253,1.6600630581927722,166,82.3414,170.93,2058.535,75.8648,78.6,1896.62,100
st-elixir-phoenix-1-8-5,static,8,80000,57101,22899,123.87047719955444,645.835890913059,187.95942163140964,1.5173867565603092,194,69.544375,192.67,2225.42,72.14921875,75.41,2308.775,100
