Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%*s),Avg Mem (MB),Peak Mem (MB),Total Mem (MB*s),HTTP Max Workers
st-erlang-pure-28-4-3,static,8,100,100,0,1.549945592880249,64.51839371611165,0.008108701408500122,0.0052316038999999995,2,0.4375,1.19,0.875,45.3975,45.43,90.795,100
st-erlang-pure-28-4-3,static,8,1000,975,25,5.12581467628479,195.09093932455704,0.12185823702171045,0.023773437925000005,6,0.992,3.69,2.48,46.018,46.29,115.045,100
st-erlang-pure-28-4-3,static,8,5000,5000,0,3.6561691761016846,1367.5515981815556,1.598632814903875,0.43724257218545465,11,16.119999999999997,43.85,40.3,51.839999999999996,54.04,129.6,100
st-erlang-pure-28-4-3,static,8,8000,8000,0,5.838430404663086,1370.2312857254399,5.023923778207593,0.86049219225,12,27.281666666666666,59.4,81.845,50.395,52.71,151.185,100
st-erlang-pure-28-4-3,static,8,10000,10000,0,7.8491599559783936,1274.02168589817,5.926537912295786,0.75505378225625,16,34.05285714285714,69.36,119.185,49.63714285714286,51.56,173.73000000000002,100
st-erlang-pure-28-4-3,static,8,15000,15000,0,12.506419897079468,1199.3840062496895,12.234352034361976,0.9782457437894736,19,37.77666666666667,61.77,169.995,53.857777777777784,57.02,242.36,100
st-erlang-pure-28-4-3,static,8,20000,19997,3,16.694003343582153,1198.0349822853489,19.336785668485817,1.1583072837899997,23,43.875454545454545,66.87,241.315,52.92909090909091,56.72,291.11,100
st-erlang-pure-28-4-3,static,8,30000,30000,0,25.525972366333008,1175.2735437247406,26.66337087662147,1.0445584792604654,43,51.282666666666664,76.5,384.62,55.43733333333333,60.82,415.78,100
st-erlang-pure-28-4-3,static,8,40000,40000,0,33.76079344749451,1184.8062772046171,52.275876983016694,1.5484196798963636,44,54.3615,86.28,543.615,55.99249999999999,67.28,559.925,100
st-erlang-pure-28-4-3,static,8,50000,50000,0,41.86589050292969,1194.2896567911557,63.78924239972861,1.5236566482507943,63,61.788333333333334,94.1,741.46,61.220416666666665,74.63,734.645,100
st-erlang-pure-28-4-3,static,8,60000,59999,1,51.05211782455444,1175.2695589670898,87.68412898755439,1.7175414600602743,73,68.88535714285715,102.88,964.395,65.73142857142857,116.4,920.24,100
st-erlang-pure-28-4-3,static,8,70000,69987,13,60.1399040222168,1163.9526390687404,124.83238509553624,2.07569977247421,76,72.61090909090909,103.04,1198.08,79.96303030303031,174.6,1319.39,100
st-erlang-pure-28-4-3,static,8,80000,79979,21,71.19862532615662,1123.6171995389632,127.35410757001135,1.7887158212200005,110,78.56131578947368,104.55,1492.665,98.9871052631579,221.9,1880.755,100
